;Akeywords_lemma;Akeywords_pos
60028868;[('model', 2177), ('analysis', 1962), ('system', 1949), ('cell', 1681), ('disease', 1623), ('cancer', 1362), ('disorder', 1090), ('scatter', 967), ('method', 954), ('acid', 941), ('structure', 931), ('physic', 894), ('network', 864), ('control', 844), ('activity', 834), ('theory', 827), ('image', 812), ('stress', 803), ('hadronhadron', 798), ('function', 793), ('receptor', 780), ('star', 772), ('experiment', 767), ('process', 734), ('italy', 724), ('protein', 700), ('equation', 692), ('energy', 688), ('data', 674), ('dynamic', 668)];[(('analysis', 'NN'), 1872), (('cancer', 'NN'), 1262), (('model', 'NN'), 1036), (('systems', 'NNS'), 980), (('system', 'NN'), 969), (('scattering', 'VBG'), 925), (('disease', 'NN'), 909), (('physics', 'NNS'), 893), (('activity', 'NN'), 777), (('control', 'NN'), 752), (('cell', 'NN'), 749), (('stress', 'NN'), 737), (('cells', 'NNS'), 714), (('energy', 'NN'), 675), (('data', 'NNS'), 654), (('stars', 'NNS'), 633), (('disorder', 'NN'), 622), (('hadronhadron', 'NN'), 619), (('methods', 'NNS'), 574), (('therapy', 'NN'), 567), (('theory', 'NN'), 557), (('magnetic', 'JJ'), 551), (('experiments', 'NNS'), 550), (('human', 'JJ'), 545), (('models', 'NNS'), 527), (('function', 'NN'), 512), (('acid', 'NN'), 508), (('surgery', 'NN'), 505), (('risk', 'NN'), 496), (('receptor', 'NN'), 496)]
60030318;[('cell', 4145), ('disease', 4089), ('cancer', 3493), ('analysis', 2606), ('model', 2278), ('acid', 2070), ('factor', 2057), ('system', 2029), ('protein', 1849), ('heart', 1839), ('syndrome', 1748), ('surgery', 1700), ('receptor', 1624), ('therapy', 1571), ('risk', 1563), ('lung', 1354), ('image', 1305), ('gene', 1270), ('study', 1210), ('activity', 1201), ('growth', 1174), ('disorder', 1171), ('human', 1132), ('treatment', 1117), ('breast', 1098), ('covid', 1093), ('bone', 1081), ('blood', 1064), ('structure', 1061), ('drug', 1032)];[(('cancer', 'NN'), 3301), (('disease', 'NN'), 2698), (('analysis', 'NN'), 2472), (('cell', 'NN'), 1849), (('cells', 'NNS'), 1802), (('therapy', 'NN'), 1468), (('risk', 'NN'), 1405), (('system', 'NN'), 1357), (('surgery', 'NN'), 1324), (('growth', 'NN'), 1174), (('activity', 'NN'), 1145), (('heart', 'NN'), 1101), (('protein', 'NN'), 1083), (('factor', 'NN'), 1067), (('acid', 'NN'), 1057), (('treatment', 'NN'), 1055), (('human', 'JJ'), 1033), (('gene', 'NN'), 1031), (('blood', 'NN'), 1031), (('breast', 'NN'), 1012), (('receptor', 'NN'), 998), (('model', 'NN'), 983), (('factors', 'NNS'), 973), (('pressure', 'NN'), 942), (('bone', 'NN'), 933), (('stress', 'NN'), 920), (('syndrome', 'NN'), 899), (('health', 'NN'), 892), (('quality', 'NN'), 862), (('chronic', 'JJ'), 822)]
60030674;[('galaxy', 955), ('physic', 753), ('scatter', 592), ('hadronhadron', 545), ('theory', 436), ('model', 393), ('experiment', 365), ('equation', 298), ('quantum', 264), ('method', 261), ('cm', 245), ('star', 233), ('general', 208), ('system', 198), ('cosmology', 196), ('ism', 185), ('dark', 182), ('dynamic', 181), ('highredshift', 179), ('field', 176), ('molecule', 174), ('evolution', 165), ('detector', 164), ('standard', 163), ('spectroscopy', 160), ('structure', 160), ('age', 159), ('beyond', 156), ('particle', 154), ('analysis', 144)];[(('galaxies', 'NNS'), 839), (('physics', 'NNS'), 752), (('scattering', 'VBG'), 577), (('hadronhadron', 'NN'), 387), (('experiments', 'NNS'), 348), (('theory', 'NN'), 281), (('model', 'NN'), 235), (('methods', 'NNS'), 233), (('cms', 'NN'), 206), (('general', 'JJ'), 195), (('stars', 'NNS'), 176), (('equations', 'NNS'), 171), (('cosmology', 'NN'), 164), (('highredshift', 'VBP'), 162), (('dynamics', 'NNS'), 161), (('hadronhadron', 'VBP'), 158), (('beyond', 'IN'), 156), (('standard', 'JJ'), 153), (('ism', 'NN'), 152), (('quantum', 'NN'), 141), (('evolution', 'NN'), 140), (('field', 'NN'), 134), (('systems', 'NNS'), 130), (('analysis', 'NN'), 130), (('individual', 'JJ'), 128), (('dark', 'JJ'), 123), (('equation', 'NN'), 121), (('spectroscopy', 'NN'), 121), (('stochastic', 'JJ'), 121), (('structure', 'NN'), 120)]
60031624;[('model', 896), ('cell', 888), ('analysis', 850), ('system', 742), ('cancer', 689), ('disease', 625), ('test', 409), ('network', 382), ('method', 381), ('carcinoma', 379), ('control', 372), ('sea', 368), ('energy', 345), ('acid', 339), ('dynamic', 322), ('stress', 322), ('management', 314), ('factor', 312), ('syndrome', 306), ('surgery', 304), ('therapy', 299), ('risk', 297), ('quality', 292), ('human', 288), ('growth', 288), ('process', 283), ('structure', 274), ('image', 273), ('activity', 265), ('environment', 256)];[(('analysis', 'NN'), 819), (('cancer', 'NN'), 677), (('cell', 'NN'), 504), (('model', 'NN'), 457), (('disease', 'NN'), 396), (('system', 'NN'), 377), (('systems', 'NNS'), 365), (('sea', 'NN'), 355), (('carcinoma', 'NN'), 347), (('energy', 'NN'), 343), (('control', 'NN'), 328), (('management', 'NN'), 310), (('stress', 'NN'), 294), (('growth', 'NN'), 288), (('human', 'JJ'), 280), (('cells', 'NNS'), 279), (('risk', 'NN'), 275), (('therapy', 'NN'), 267), (('quality', 'NN'), 252), (('data', 'NNS'), 239), (('activity', 'NN'), 232), (('test', 'NN'), 221), (('treatment', 'NN'), 220), (('design', 'NN'), 219), (('arthritis', 'NN'), 208), (('surgery', 'NN'), 203), (('method', 'NN'), 201), (('health', 'NN'), 197), (('network', 'NN'), 194), (('water', 'NN'), 193)]
60031984;[('disease', 1801), ('cancer', 1743), ('syndrome', 1146), ('cell', 1098), ('surgery', 967), ('therapy', 814), ('heart', 610), ('coronary', 569), ('lung', 547), ('muscle', 538), ('factor', 537), ('treatment', 532), ('care', 530), ('health', 512), ('diagnosis', 499), ('disorder', 495), ('carcinoma', 483), ('acute', 464), ('tumor', 464), ('analysis', 463), ('ovary', 454), ('medicine', 444), ('image', 444), ('liver', 433), ('drug', 418), ('infection', 410), ('outcome', 400), ('test', 399), ('covid', 394), ('quality', 392)];[(('cancer', 'NN'), 1695), (('disease', 'NN'), 1180), (('surgery', 'NN'), 757), (('therapy', 'NN'), 754), (('syndrome', 'NN'), 639), (('coronary', 'JJ'), 558), (('cell', 'NN'), 524), (('care', 'NN'), 522), (('health', 'NN'), 512), (('treatment', 'NN'), 502), (('carcinoma', 'NN'), 456), (('cells', 'NNS'), 453), (('analysis', 'NN'), 451), (('ovarian', 'JJ'), 397), (('acute', 'JJ'), 387), (('brain', 'NN'), 382), (('diagnosis', 'NN'), 362), (('risk', 'NN'), 355), (('heart', 'NN'), 345), (('clinical', 'JJ'), 341), (('syndrome', 'JJ'), 337), (('chronic', 'JJ'), 335), (('quality', 'NN'), 320), (('medicine', 'NN'), 318), (('magnetic', 'JJ'), 314), (('disease', 'VBP'), 310), (('radiotherapy', 'NN'), 305), (('imaging', 'VBG'), 301), (('breast', 'NN'), 301), (('tumor', 'NN'), 300)]
60032111;[('cell', 328), ('analysis', 308), ('physic', 282), ('model', 255), ('scatter', 224), ('system', 206), ('hadronhadron', 199), ('acid', 177), ('activity', 175), ('sea', 149), ('receptor', 138), ('bifurcation', 133), ('stress', 132), ('experiment', 130), ('italy', 128), ('map', 128), ('cancer', 127), ('dna', 124), ('method', 122), ('wave', 116), ('gravitation', 112), ('antioxidant', 103), ('process', 99), ('apoptosis', 98), ('social', 96), ('dynamic', 95), ('foraminifera', 93), ('network', 92), ('water', 89), ('protein', 89)];[(('analysis', 'NN'), 298), (('physics', 'NNS'), 281), (('scattering', 'VBG'), 203), (('activity', 'NN'), 172), (('cell', 'NN'), 144), (('sea', 'NN'), 141), (('hadronhadron', 'VBP'), 133), (('cells', 'NNS'), 126), (('stress', 'NN'), 123), (('dna', 'NN'), 114), (('experiments', 'NNS'), 114), (('systems', 'NNS'), 110), (('cancer', 'NN'), 110), (('model', 'NN'), 106), (('gravitational', 'JJ'), 105), (('acid', 'NN'), 98), (('social', 'JJ'), 96), (('system', 'NN'), 96), (('apoptosis', 'NN'), 95), (('receptor', 'NN'), 91), (('foraminifera', 'NN'), 89), (('quality', 'NN'), 87), (('waves', 'NNS'), 85), (('production', 'NN'), 85), (('oxidative', 'JJ'), 80), (('antioxidant', 'JJ'), 80), (('oil', 'NN'), 77), (('essential', 'JJ'), 75), (('human', 'JJ'), 75), (('methods', 'NNS'), 74)]
60032256;[('cell', 1069), ('disease', 1052), ('cancer', 952), ('analysis', 709), ('pancreas', 636), ('surgery', 582), ('model', 569), ('image', 502), ('protein', 480), ('system', 477), ('factor', 476), ('risk', 437), ('heart', 423), ('syndrome', 413), ('health', 386), ('kidney', 386), ('therapy', 382), ('disorder', 379), ('test', 374), ('magnetism', 370), ('chronic', 368), ('gene', 360), ('child', 356), ('acid', 355), ('carcinoma', 353), ('tumor', 330), ('lung', 326), ('quality', 325), ('asthma', 315), ('muscle', 315)];[(('cancer', 'NN'), 923), (('disease', 'NN'), 711), (('analysis', 'NN'), 685), (('cell', 'NN'), 623), (('pancreatic', 'JJ'), 495), (('surgery', 'NN'), 413), (('risk', 'NN'), 399), (('health', 'NN'), 386), (('magnetic', 'JJ'), 370), (('cells', 'NNS'), 361), (('therapy', 'NN'), 349), (('chronic', 'JJ'), 346), (('carcinoma', 'NN'), 318), (('imaging', 'VBG'), 313), (('gene', 'NN'), 300), (('treatment', 'NN'), 291), (('children', 'NNS'), 291), (('factors', 'NNS'), 282), (('protein', 'NN'), 278), (('quality', 'NN'), 277), (('resonance', 'NN'), 276), (('social', 'JJ'), 263), (('system', 'NN'), 262), (('blood', 'NN'), 251), (('model', 'NN'), 241), (('bone', 'NN'), 239), (('heart', 'NN'), 239), (('care', 'NN'), 238), (('coronary', 'JJ'), 234), (('sclerosis', 'NN'), 224)]
60032259;[('analysis', 833), ('model', 825), ('system', 796), ('receptor', 741), ('disease', 673), ('cell', 608), ('disorder', 504), ('sardinia', 503), ('dopamine', 503), ('acid', 490), ('activity', 487), ('cancer', 450), ('rat', 440), ('mediterranean', 365), ('structure', 353), ('network', 338), ('human', 333), ('method', 323), ('physic', 306), ('control', 298), ('process', 292), ('factor', 287), ('scatter', 278), ('multiple', 276), ('image', 275), ('water', 271), ('quality', 271), ('energy', 268), ('dynamic', 257), ('risk', 257)];[(('analysis', 'NN'), 805), (('systems', 'NNS'), 478), (('activity', 'NN'), 470), (('receptor', 'NN'), 470), (('cancer', 'NN'), 402), (('disease', 'NN'), 396), (('sardinia', 'NN'), 372), (('model', 'NN'), 367), (('dopamine', 'NN'), 355), (('system', 'NN'), 318), (('human', 'JJ'), 315), (('physics', 'NNS'), 306), (('acid', 'NN'), 289), (('cell', 'NN'), 276), (('control', 'NN'), 266), (('energy', 'NN'), 265), (('receptors', 'NNS'), 265), (('multiple', 'JJ'), 259), (('cells', 'NNS'), 257), (('scattering', 'VBG'), 256), (('disorder', 'NN'), 251), (('sclerosis', 'NN'), 244), (('social', 'JJ'), 242), (('rat', 'NN'), 240), (('risk', 'NN'), 239), (('disorders', 'NNS'), 235), (('treatment', 'NN'), 235), (('water', 'NN'), 232), (('quality', 'NN'), 224), (('data', 'NNS'), 221)]
60032350;[('model', 4235), ('analysis', 4227), ('disease', 4043), ('cell', 3947), ('system', 3479), ('cancer', 3182), ('surgery', 2058), ('syndrome', 1823), ('method', 1800), ('disorder', 1736), ('image', 1731), ('factor', 1704), ('network', 1679), ('structure', 1658), ('therapy', 1628), ('theory', 1580), ('dynamic', 1572), ('function', 1537), ('risk', 1533), ('equation', 1485), ('acid', 1463), ('process', 1446), ('control', 1442), ('heart', 1442), ('receptor', 1412), ('test', 1396), ('energy', 1364), ('protein', 1345), ('italy', 1324), ('treatment', 1281)];[(('analysis', 'NN'), 4010), (('cancer', 'NN'), 3083), (('disease', 'NN'), 2569), (('model', 'NN'), 1948), (('cell', 'NN'), 1780), (('systems', 'NNS'), 1774), (('system', 'NN'), 1705), (('cells', 'NNS'), 1669), (('surgery', 'NN'), 1545), (('therapy', 'NN'), 1493), (('risk', 'NN'), 1419), (('energy', 'NN'), 1347), (('control', 'NN'), 1293), (('magnetic', 'JJ'), 1225), (('treatment', 'NN'), 1222), (('human', 'JJ'), 1192), (('theory', 'NN'), 1144), (('data', 'NNS'), 1109), (('scattering', 'VBG'), 1095), (('stress', 'NN'), 1089), (('models', 'NNS'), 1088), (('social', 'JJ'), 1065), (('physics', 'NNS'), 1062), (('dynamics', 'NNS'), 1038), (('activity', 'NN'), 1017), (('health', 'NN'), 1000), (('galaxies', 'NNS'), 978), (('methods', 'NNS'), 975), (('resonance', 'NN'), 960), (('imaging', 'VBG'), 923)]
60050715;[('analysis', 461), ('forest', 402), ('model', 400), ('soil', 329), ('acid', 269), ('cell', 261), ('carbon', 229), ('protein', 223), ('specie', 210), ('quality', 208), ('mediterranean', 207), ('system', 203), ('plant', 197), ('management', 195), ('change', 193), ('activity', 193), ('italy', 187), ('water', 187), ('gene', 186), ('wheat', 185), ('sustainability', 176), ('dna', 163), ('environment', 158), ('energy', 148), ('stress', 148), ('index', 147), ('food', 146), ('method', 138), ('biomass', 137), ('agriculture', 135)];[(('analysis', 'NN'), 446), (('soil', 'NN'), 271), (('forest', 'JJS'), 256), (('carbon', 'NN'), 224), (('species', 'NNS'), 209), (('quality', 'NN'), 205), (('management', 'NN'), 193), (('model', 'NN'), 182), (('activity', 'NN'), 177), (('wheat', 'NN'), 170), (('plant', 'NN'), 168), (('water', 'NN'), 158), (('change', 'NN'), 149), (('energy', 'NN'), 146), (('food', 'NN'), 141), (('stress', 'NN'), 134), (('dna', 'NN'), 132), (('acid', 'NN'), 132), (('biomass', 'NN'), 130), (('genetic', 'JJ'), 129), (('growth', 'NN'), 128), (('gene', 'NN'), 124), (('mediterranean', 'JJ'), 122), (('system', 'NN'), 119), (('climate', 'NN'), 119), (('organic', 'JJ'), 117), (('cell', 'NN'), 116), (('cells', 'NNS'), 116), (('production', 'NN'), 115), (('sea', 'NN'), 114)]
60069616;[('disease', 661), ('cancer', 484), ('cell', 442), ('heart', 276), ('drug', 233), ('surgery', 226), ('syndrome', 224), ('therapy', 218), ('analysis', 210), ('disorder', 210), ('epilepsy', 201), ('system', 200), ('diabetes', 196), ('chronic', 189), ('covid', 183), ('receptor', 176), ('artery', 175), ('insulin', 167), ('risk', 166), ('kidney', 160), ('image', 155), ('multiple', 153), ('factor', 150), ('resistance', 144), ('model', 142), ('acid', 142), ('inhibitor', 139), ('protein', 138), ('health', 136), ('gene', 133)];[(('disease', 'NN'), 473), (('cancer', 'NN'), 453), (('cells', 'NNS'), 233), (('analysis', 'NN'), 205), (('therapy', 'NN'), 201), (('chronic', 'JJ'), 179), (('surgery', 'NN'), 175), (('drug', 'NN'), 164), (('epilepsy', 'NN'), 164), (('cell', 'NN'), 161), (('risk', 'NN'), 156), (('insulin', 'NN'), 147), (('resistance', 'NN'), 143), (('multiple', 'JJ'), 142), (('health', 'NN'), 136), (('receptor', 'NN'), 135), (('disorders', 'NNS'), 134), (('coronary', 'JJ'), 128), (('heart', 'NN'), 125), (('syndrome', 'NN'), 124), (('stress', 'NN'), 122), (('treatment', 'NN'), 122), (('gene', 'NN'), 120), (('artery', 'NN'), 115), (('activity', 'NN'), 113), (('system', 'NN'), 110), (('inhibitors', 'NNS'), 109), (('imaging', 'VBG'), 108), (('pain', 'NN'), 107), (('inflammation', 'NN'), 105)]
60073247;[('theology', 22), ('religion', 13), ('god', 8), ('sex', 8), ('social', 8), ('culture', 8), ('religious', 7), ('abuse', 7), ('history', 6), ('Bible', 6), ('church', 6), ('information', 6), ('human', 6), ('hermeneutics', 5), ('catholicism', 5), ('ethic', 5), ('epistemology', 5), ('faith', 5), ('rhetoric', 5), ('jesus', 4), ('life', 4), ('balthasar', 4), ('responsibility', 4), ('society', 4), ('christ', 4), ('communication', 4), ('catholic', 4), ('equivalence', 4), ('class', 4), ('pluralism', 4)];[(('theology', 'NN'), 14), (('religion', 'NN'), 11), (('social', 'JJ'), 8), (('religious', 'JJ'), 7), (('sexual', 'JJ'), 7), (('abuse', 'NN'), 7), (('god', 'NN'), 6), (('theological', 'JJ'), 6), (('biblical', 'JJ'), 6), (('information', 'NN'), 6), (('human', 'JJ'), 6), (('history', 'NN'), 5), (('hermeneutics', 'NNS'), 5), (('catholicism', 'NN'), 5), (('church', 'NN'), 5), (('ethics', 'NNS'), 5), (('culture', 'NN'), 5), (('life', 'NN'), 4), (('responsibility', 'NN'), 4), (('christ', 'NN'), 4), (('communication', 'NN'), 4), (('catholic', 'JJ'), 4), (('equivalence', 'NN'), 4), (('class', 'NN'), 4), (('pluralism', 'NN'), 4), (('economy', 'NN'), 4), (('nature', 'NN'), 4), (('spiritual', 'JJ'), 4), (('exercises', 'NNS'), 4), (('cognitive', 'JJ'), 3)]
60073834;[('analysis', 219), ('model', 161), ('gene', 159), ('acid', 151), ('vitis', 134), ('apple', 129), ('wine', 126), ('compound', 121), ('spectrometry', 120), ('plant', 120), ('forest', 117), ('volatile', 115), ('specie', 108), ('vinifera', 107), ('isotope', 104), ('mass', 95), ('grapevine', 91), ('climate', 91), ('fruit', 89), ('change', 87), ('organic', 83), ('malus', 82), ('control', 82), ('grape', 81), ('ecology', 80), ('resistance', 80), ('diversity', 78), ('genetic', 77), ('carbon', 77), ('lake', 75)];[(('analysis', 'NN'), 215), (('gene', 'NN'), 127), (('spectrometry', 'NN'), 119), (('apple', 'NN'), 119), (('vitis', 'NN'), 115), (('vinifera', 'NN'), 107), (('species', 'NNS'), 107), (('plant', 'NN'), 103), (('compounds', 'NNS'), 101), (('volatile', 'JJ'), 99), (('mass', 'NN'), 92), (('organic', 'JJ'), 83), (('acid', 'NN'), 83), (('change', 'NN'), 80), (('control', 'NN'), 79), (('diversity', 'NN'), 76), (('fruit', 'NN'), 76), (('wine', 'NN'), 76), (('biodiversity', 'NN'), 75), (('resistance', 'NN'), 75), (('climate', 'NN'), 73), (('carbon', 'NN'), 73), (('genetic', 'JJ'), 72), (('grapevine', 'NN'), 71), (('food', 'NN'), 68), (('stable', 'JJ'), 67), (('forest', 'JJS'), 67), (('data', 'NNS'), 67), (('model', 'NN'), 66), (('management', 'NN'), 66)]
60103305;[('psalm', 2), ('revelation', 2), ('old', 2), ('book', 2), ('text', 2), ('narrative', 2), ('analysis', 2), ('allegorical', 2), ('exegesis', 2), ('exodus', 2), ('bible', 2), ('woman', 2), ('ancient', 2), ('israel', 2), ('deuteronomy', 2), ('khirbet', 2), ('jeremiah', 2), ('wisdom', 2), ('structure', 1), ('natural', 1), ('theology', 1), ('nature', 1), ('creation', 1), ('creator', 1), ('doublet', 1), ('ho', 1), ('justin', 1), ('martyr', 1), ('kaige', 1), ('recension', 1)];[(('revelation', 'NN'), 2), (('old', 'JJ'), 2), (('analysis', 'NN'), 2), (('allegorical', 'JJ'), 2), (('exegesis', 'NN'), 2), (('bible', 'JJ'), 2), (('israel', 'NN'), 2), (('khirbet', 'NN'), 2), (('jeremiah', 'NN'), 2), (('wisdom', 'NN'), 2), (('psalm', 'NN'), 1), (('structure', 'NN'), 1), (('natural', 'JJ'), 1), (('theology', 'NN'), 1), (('nature', 'NN'), 1), (('psalms', 'VBZ'), 1), (('creation', 'NN'), 1), (('creator', 'NN'), 1), (('doublet', 'NN'), 1), (('hos', 'NN'), 1), (('justin', 'NN'), 1), (('martyr', 'NN'), 1), (('kaige', 'NN'), 1), (('recension', 'NN'), 1), (('mark', 'NN'), 1), (('matt', 'NN'), 1), (('greek', 'JJ'), 1), (('latin', 'JJ'), 1), (('patristic', 'JJ'), 1), (('quotations', 'NNS'), 1)]
60103326;[('social', 27), ('medium', 16), ('compassion', 16), ('theory', 12), ('entrepreneurship', 11), ('digit', 10), ('rate', 10), ('model', 10), ('selfcriticism', 10), ('heart', 9), ('variability', 9), ('economy', 8), ('rom', 8), ('communication', 7), ('selfcompassion', 7), ('study', 7), ('culture', 6), ('rome', 6), ('market', 6), ('institution', 6), ('function', 6), ('therapy', 6), ('fear', 6), ('system', 6), ('child', 6), ('satisfaction', 5), ('affect', 5), ('sex', 5), ('artificial', 5), ('intelligence', 5)];[(('social', 'JJ'), 27), (('media', 'NNS'), 16), (('compassion', 'NN'), 14), (('theory', 'NN'), 10), (('rate', 'NN'), 10), (('heart', 'NN'), 9), (('variability', 'NN'), 9), (('digital', 'JJ'), 8), (('entrepreneurship', 'NN'), 8), (('selfcriticism', 'NN'), 8), (('selfcompassion', 'NN'), 7), (('communication', 'NN'), 6), (('therapy', 'NN'), 6), (('roma', 'NN'), 6), (('economy', 'NN'), 5), (('satisfaction', 'NN'), 5), (('artificial', 'JJ'), 5), (('intelligence', 'NN'), 5), (('culture', 'NN'), 4), (('change', 'NN'), 4), (('illegal', 'JJ'), 4), (('performance', 'NN'), 4), (('signaling', 'VBG'), 4), (('state', 'NN'), 4), (('corporate', 'JJ'), 4), (('institutions', 'NNS'), 4), (('job', 'NN'), 4), (('sexual', 'JJ'), 4), (('selfreassurance', 'NN'), 4), (('religious', 'JJ'), 4)]
60104092;[('analysis', 146), ('model', 115), ('network', 102), ('system', 68), ('energy', 67), ('water', 59), ('covid', 57), ('social', 56), ('performance', 51), ('test', 50), ('assessment', 46), ('behavior', 46), ('control', 45), ('flow', 43), ('adolescence', 41), ('city', 41), ('physical', 36), ('psychological', 36), ('attachment', 36), ('property', 36), ('nervous_system', 36), ('cognition', 35), ('dynamic', 34), ('process', 34), ('structure', 34), ('learn', 34), ('education', 33), ('life', 32), ('stress', 32), ('child', 32)];[(('analysis', 'NN'), 141), (('energy', 'NN'), 67), (('model', 'NN'), 59), (('water', 'NN'), 53), (('social', 'JJ'), 53), (('networks', 'NNS'), 51), (('performance', 'NN'), 51), (('network', 'NN'), 50), (('system', 'NN'), 44), (('control', 'NN'), 42), (('adolescence', 'NN'), 39), (('physical', 'JJ'), 36), (('psychological', 'JJ'), 36), (('properties', 'NNS'), 36), (('neural', 'JJ'), 36), (('urban', 'JJ'), 34), (('life', 'NN'), 32), (('covid', 'NN'), 31), (('anxiety', 'NN'), 30), (('satisfaction', 'NN'), 30), (('learning', 'VBG'), 30), (('power', 'NN'), 30), (('health', 'NN'), 30), (('education', 'NN'), 30), (('traffic', 'NN'), 29), (('stress', 'NN'), 29), (('personality', 'NN'), 29), (('risk', 'NN'), 28), (('cancer', 'NN'), 28), (('nuclear', 'JJ'), 28)]
60104320;[('function', 294), ('equation', 180), ('fractional', 132), ('inequality', 126), ('method', 123), ('differential', 91), ('polynomial', 89), ('solution', 76), ('integral', 75), ('model', 73), ('operator', 67), ('analysis', 66), ('derivative', 56), ('delay', 45), ('oscillation', 41), ('system', 36), ('space', 36), ('nonlinear', 35), ('theorem', 35), ('disorder', 33), ('social', 33), ('matrix', 32), ('wave', 31), ('generalize', 31), ('type', 31), ('gradient', 30), ('calculus', 30), ('condition', 29), ('interaction', 28), ('problem', 28)];[(('functions', 'NNS'), 173), (('fractional', 'JJ'), 131), (('function', 'NN'), 104), (('method', 'NN'), 97), (('differential', 'JJ'), 90), (('equations', 'NNS'), 89), (('inequality', 'NN'), 87), (('equation', 'NN'), 86), (('polynomials', 'NNS'), 81), (('integral', 'JJ'), 65), (('solutions', 'NNS'), 54), (('analysis', 'NN'), 42), (('operator', 'NN'), 40), (('oscillation', 'NN'), 40), (('model', 'NN'), 39), (('derivative', 'JJ'), 39), (('delay', 'NN'), 38), (('social', 'JJ'), 33), (('space', 'NN'), 30), (('nonlinear', 'JJ'), 26), (('inequalities', 'NNS'), 26), (('order', 'NN'), 26), (('operators', 'NNS'), 26), (('system', 'NN'), 25), (('time', 'NN'), 25), (('neutral', 'JJ'), 25), (('energy', 'NN'), 24), (('analytic', 'JJ'), 24), (('hypergeometric', 'JJ'), 24), (('moral', 'JJ'), 23)]
60104321;[('social', 15), ('price', 14), ('analysis', 13), ('learn', 13), ('adolescence', 13), ('quality', 12), ('school', 11), ('research', 10), ('knowledge', 10), ('life', 10), ('tourism', 9), ('design', 9), ('technological', 9), ('education', 9), ('strategy', 8), ('early', 8), ('covid', 8), ('optimization', 8), ('function', 7), ('market', 7), ('test', 7), ('model', 7), ('factor', 7), ('selfefficacy', 7), ('parent', 7), ('perception', 6), ('set', 6), ('dynamic', 6), ('assessment', 6), ('wellbeing', 6)];[(('social', 'JJ'), 15), (('analysis', 'NN'), 13), (('adolescence', 'NN'), 12), (('research', 'NN'), 10), (('life', 'NN'), 10), (('school', 'NN'), 10), (('tourism', 'NN'), 9), (('design', 'NN'), 9), (('knowledge', 'NN'), 9), (('technological', 'JJ'), 9), (('strategies', 'NNS'), 8), (('quality', 'NN'), 8), (('pricing', 'NN'), 8), (('learning', 'VBG'), 8), (('optimization', 'NN'), 8), (('test', 'NN'), 7), (('selfefficacy', 'NN'), 7), (('education', 'NN'), 7), (('perception', 'NN'), 6), (('factor', 'NN'), 6), (('support', 'NN'), 6), (('variational', 'JJ'), 6), (('communication', 'NN'), 5), (('market', 'NN'), 5), (('dynamic', 'JJ'), 5), (('management', 'NN'), 5), (('identity', 'NN'), 5), (('learning', 'NN'), 5), (('generalized', 'VBN'), 5), (('innovation', 'NN'), 5)]
60105230;[('disease', 23), ('peptide', 16), ('dna', 16), ('migraine', 14), ('analysis', 12), ('acid', 12), ('stress', 11), ('oxidative', 10), ('treatment', 10), ('inflammation', 9), ('food', 9), ('plasticity', 9), ('protein', 8), ('cell', 8), ('heart', 8), ('dairy', 8), ('image', 8), ('parkinson', 8), ('exercise', 8), ('striatum', 8), ('multiple', 8), ('damage', 7), ('development', 7), ('performance', 7), ('liquid', 7), ('rehabilitation', 7), ('sclerosis', 7), ('cancer', 7), ('antioxidant', 6), ('activity', 6)];[(('disease', 'NN'), 14), (('dna', 'NN'), 12), (('analysis', 'NN'), 11), (('stress', 'NN'), 11), (('migraine', 'NN'), 11), (('treatment', 'NN'), 10), (('inflammation', 'NN'), 9), (('plasticity', 'NN'), 9), (('dairy', 'NN'), 8), (('parkinsons', 'NNS'), 8), (('exercise', 'NN'), 8), (('oxidative', 'JJ'), 8), (('food', 'NN'), 8), (('multiple', 'JJ'), 8), (('peptides', 'NNS'), 7), (('heart', 'NN'), 7), (('development', 'NN'), 7), (('performance', 'NN'), 7), (('sclerosis', 'NN'), 7), (('striatum', 'NN'), 7), (('cancer', 'NN'), 7), (('activity', 'NN'), 6), (('damage', 'NN'), 6), (('imaging', 'VBG'), 6), (('disease', 'VBP'), 6), (('liquid', 'NN'), 6), (('chronic', 'JJ'), 6), (('rehabilitation', 'NN'), 6), (('motor', 'NN'), 6), (('acid', 'NN'), 6)]
