;Ikeywords_lemma;Ikeywords_pos
60050715;[('cell', 3155), ('protein', 3003), ('analysis', 2325), ('article', 2052), ('plant', 1951), ('animal', 1892), ('human', 1622), ('acid', 1528), ('dna', 1527), ('gene', 1456), ('study', 1447), ('sequence', 1406), ('soil', 1243), ('environment', 1188), ('carbon', 1176), ('control', 1134), ('model', 1100), ('molecule', 1086), ('italy', 1071), ('water', 1065), ('drug', 1013), ('nonhuman', 995), ('genetic', 971), ('enzyme', 931), ('forest', 849), ('metabolism', 820), ('structure', 803), ('priority', 747), ('journal', 746), ('genetics', 728)];[(('cell', 'NN'), 2478), (('analysis', 'NN'), 2270), (('article', 'NN'), 2051), (('protein', 'NN'), 1932), (('plant', 'NN'), 1668), (('gene', 'NN'), 1321), (('dna', 'NN'), 1310), (('sequence', 'NN'), 1293), (('study', 'NN'), 1223), (('carbon', 'NN'), 1095), (('molecular', 'JJ'), 1023), (('soil', 'NN'), 1018), (('drug', 'NN'), 1012), (('water', 'NN'), 987), (('human', 'JJ'), 955), (('genetic', 'JJ'), 928), (('environmental', 'JJ'), 879), (('nonhuman', 'JJ'), 873), (('acid', 'NN'), 846), (('metabolism', 'NN'), 753), (('animal', 'JJ'), 745), (('genetics', 'NNS'), 728), (('priority', 'NN'), 726), (('expression', 'NN'), 714), (('growth', 'NN'), 712), (('journal', 'NN'), 710), (('controlled', 'VBD'), 674), (('animals', 'NNS'), 665), (('derivative', 'JJ'), 644), (('structure', 'NN'), 615)]
60069616;[('human', 13321), ('study', 11299), ('cell', 8973), ('age', 7797), ('protein', 7722), ('article', 7230), ('male', 6631), ('female', 6567), ('drug', 6332), ('disease', 6140), ('adult', 5447), ('clinic', 5209), ('control', 4526), ('middle', 3465), ('animal', 3442), ('blood', 3324), ('gene', 3299), ('factor', 3102), ('analysis', 3057), ('journal', 2883), ('priority', 2882), ('agent', 2811), ('cancer', 2423), ('heart', 2220), ('receptor', 2158), ('acid', 2129), ('risk', 2081), ('treatment', 2064), ('tumor', 2064), ('major', 2008)];[(('study', 'NN'), 8536), (('human', 'JJ'), 7923), (('article', 'NN'), 7230), (('cell', 'NN'), 7224), (('drug', 'NN'), 6311), (('adult', 'NN'), 5278), (('clinical', 'JJ'), 5201), (('disease', 'NN'), 5201), (('protein', 'NN'), 5046), (('female', 'JJ'), 4741), (('humans', 'NNS'), 4431), (('aged', 'VBN'), 3762), (('male', 'JJ'), 3550), (('gene', 'NN'), 3207), (('aged', 'VBD'), 3189), (('blood', 'NN'), 3077), (('analysis', 'NN'), 2976), (('male', 'NN'), 2926), (('priority', 'NN'), 2847), (('controlled', 'VBD'), 2828), (('journal', 'NN'), 2719), (('cancer', 'NN'), 2350), (('factor', 'NN'), 2154), (('treatment', 'NN'), 2053), (('major', 'JJ'), 2008), (('studies', 'NNS'), 1923), (('tumor', 'NN'), 1922), (('heart', 'NN'), 1851), (('risk', 'NN'), 1847), (('receptor', 'NN'), 1824)]
60073247;[('human', 14), ('cell', 11), ('gene', 9), ('article', 9), ('sex', 8), ('animal', 8), ('adult', 7), ('dynamic', 6), ('child', 6), ('education', 6), ('prevention', 6), ('control', 6), ('study', 6), ('research', 6), ('information', 6), ('weightlessness', 6), ('abuse', 5), ('simulation', 5), ('regeneration', 5), ('biology', 5), ('protein', 5), ('computation', 5), ('system', 4), ('microgravity', 4), ('space', 4), ('female', 4), ('male', 4), ('social', 4), ('galaxy', 4), ('equivalence', 4)];[(('human', 'JJ'), 11), (('article', 'NN'), 9), (('sexual', 'JJ'), 8), (('gene', 'NN'), 8), (('adult', 'NN'), 7), (('cell', 'NN'), 7), (('education', 'NN'), 6), (('prevention', 'NN'), 6), (('study', 'NN'), 6), (('information', 'NN'), 6), (('research', 'NN'), 5), (('simulation', 'NN'), 5), (('animal', 'JJ'), 5), (('weightlessness', 'NN'), 5), (('computational', 'JJ'), 5), (('microgravity', 'NN'), 4), (('space', 'NN'), 4), (('abuse', 'NN'), 4), (('social', 'JJ'), 4), (('equivalence', 'NN'), 4), (('biology', 'NN'), 4), (('death', 'NN'), 4), (('expression', 'NN'), 4), (('neural', 'JJ'), 4), (('systems', 'NNS'), 3), (('dynamics', 'NNS'), 3), (('dynamic', 'JJ'), 3), (('child', 'NN'), 3), (('controlled', 'VBD'), 3), (('female', 'JJ'), 3)]
60073834;[('plant', 1664), ('analysis', 1596), ('animal', 1363), ('gene', 1271), ('acid', 1072), ('article', 1058), ('sequence', 990), ('mass', 988), ('spectrometry', 951), ('genetic', 866), ('protein', 863), ('dna', 762), ('vitis', 762), ('human', 761), ('control', 754), ('study', 747), ('disease', 704), ('italy', 691), ('genetics', 665), ('environment', 563), ('nonhuman', 555), ('model', 553), ('bacteria', 550), ('metabolism', 543), ('specie', 530), ('carbon', 527), ('chromatography', 509), ('fruit', 506), ('cell', 494), ('compound', 489)];[(('analysis', 'NN'), 1561), (('plant', 'NN'), 1505), (('gene', 'NN'), 1153), (('article', 'NN'), 1058), (('mass', 'NN'), 898), (('spectrometry', 'NN'), 887), (('genetic', 'JJ'), 835), (('sequence', 'NN'), 803), (('dna', 'NN'), 682), (('genetics', 'NNS'), 665), (('vitis', 'NN'), 663), (('study', 'NN'), 659), (('acid', 'NN'), 609), (('animal', 'JJ'), 581), (('disease', 'NN'), 530), (('species', 'NNS'), 515), (('animals', 'NNS'), 512), (('expression', 'NN'), 480), (('metabolism', 'NN'), 479), (('protein', 'NN'), 479), (('carbon', 'NN'), 475), (('nonhuman', 'JJ'), 470), (('chromatography', 'NN'), 453), (('human', 'JJ'), 450), (('food', 'NN'), 441), (('organic', 'JJ'), 427), (('molecular', 'JJ'), 417), (('volatile', 'JJ'), 410), (('drug', 'NN'), 408), (('water', 'NN'), 371)]
60103326;[('human', 46), ('adult', 28), ('study', 25), ('female', 24), ('male', 24), ('graph', 19), ('age', 16), ('article', 16), ('health', 15), ('cost', 15), ('rate', 14), ('control', 14), ('care', 14), ('analysis', 13), ('italy', 13), ('child', 13), ('heart', 12), ('clinic', 11), ('disease', 11), ('empathy', 11), ('economy', 10), ('theory', 10), ('lazio', 10), ('adolescent', 10), ('sex', 10), ('emotion', 9), ('self', 9), ('city', 9), ('middle', 9), ('energy', 9)];[(('human', 'JJ'), 29), (('adult', 'NN'), 26), (('study', 'NN'), 21), (('female', 'JJ'), 19), (('article', 'NN'), 16), (('humans', 'NNS'), 16), (('health', 'NN'), 15), (('rate', 'NN'), 14), (('care', 'NN'), 14), (('analysis', 'NN'), 13), (('heart', 'NN'), 12), (('male', 'NN'), 12), (('child', 'NN'), 12), (('cost', 'NN'), 12), (('clinical', 'JJ'), 11), (('disease', 'NN'), 11), (('male', 'JJ'), 11), (('economic', 'JJ'), 9), (('graph', 'NN'), 9), (('empathy', 'JJ'), 9), (('urban', 'JJ'), 9), (('aged', 'VBN'), 9), (('theory', 'NN'), 8), (('depression', 'NN'), 8), (('young', 'JJ'), 8), (('psychological', 'JJ'), 8), (('italy', 'NN'), 8), (('sexual', 'JJ'), 8), (('energy', 'NN'), 8), (('mental', 'JJ'), 7)]
60104092;[('human', 679), ('analysis', 511), ('study', 457), ('adult', 380), ('article', 371), ('female', 356), ('male', 355), ('cell', 318), ('control', 309), ('system', 304), ('model', 292), ('age', 275), ('water', 251), ('network', 233), ('energy', 209), ('behavior', 204), ('protein', 203), ('clinic', 189), ('disease', 175), ('experiment', 174), ('italy', 172), ('flow', 164), ('disorder', 162), ('assessment', 159), ('method', 154), ('questionnaire', 153), ('test', 152), ('structure', 149), ('environment', 146), ('adolescent', 142)];[(('analysis', 'NN'), 504), (('human', 'JJ'), 470), (('study', 'NN'), 383), (('article', 'NN'), 371), (('adult', 'NN'), 370), (('female', 'JJ'), 268), (('water', 'NN'), 237), (('cell', 'NN'), 233), (('systems', 'NNS'), 211), (('male', 'JJ'), 195), (('humans', 'NNS'), 190), (('clinical', 'JJ'), 188), (('energy', 'NN'), 186), (('disease', 'NN'), 158), (('male', 'NN'), 156), (('protein', 'NN'), 143), (('networks', 'NNS'), 136), (('model', 'NN'), 136), (('control', 'NN'), 132), (('controlled', 'VBD'), 130), (('health', 'NN'), 127), (('environmental', 'JJ'), 122), (('aged', 'VBD'), 121), (('major', 'JJ'), 118), (('waste', 'NN'), 115), (('disorder', 'NN'), 112), (('young', 'JJ'), 112), (('performance', 'NN'), 111), (('assessment', 'NN'), 110), (('social', 'JJ'), 108)]
60104320;[('human', 207), ('study', 162), ('child', 156), ('behavior', 152), ('male', 130), ('female', 128), ('analysis', 124), ('equation', 118), ('article', 115), ('disorder', 111), ('model', 104), ('adult', 92), ('disease', 84), ('control', 83), ('function', 80), ('system', 75), ('energy', 71), ('method', 70), ('clinic', 66), ('animal', 63), ('heat', 60), ('age', 58), ('social', 55), ('differential', 53), ('health', 51), ('mental', 51), ('adolescent', 50), ('fractional', 50), ('genetic', 49), ('scale', 48)];[(('study', 'NN'), 131), (('human', 'JJ'), 126), (('analysis', 'NN'), 117), (('child', 'NN'), 116), (('article', 'NN'), 115), (('female', 'JJ'), 107), (('adult', 'NN'), 89), (('behavior', 'NN'), 87), (('equations', 'NNS'), 86), (('male', 'JJ'), 84), (('disorder', 'NN'), 83), (('disease', 'NN'), 75), (('humans', 'NNS'), 74), (('energy', 'NN'), 69), (('clinical', 'JJ'), 65), (('social', 'JJ'), 55), (('differential', 'JJ'), 52), (('health', 'NN'), 51), (('mental', 'JJ'), 50), (('fractional', 'JJ'), 49), (('behavior', 'JJ'), 49), (('systems', 'NNS'), 48), (('genetic', 'JJ'), 48), (('model', 'NN'), 46), (('numerical', 'JJ'), 46), (('functions', 'NNS'), 46), (('gene', 'NN'), 46), (('heat', 'NN'), 43), (('major', 'JJ'), 42), (('psychology', 'NN'), 41)]
60104321;[('human', 60), ('social', 37), ('behavior', 36), ('female', 36), ('male', 36), ('adult', 31), ('analysis', 30), ('adolescent', 29), ('study', 27), ('italy', 21), ('market', 19), ('price', 18), ('article', 18), ('child', 18), ('questionnaire', 17), ('clinic', 16), ('industry', 15), ('age', 15), ('transportation', 14), ('model', 14), ('factor', 12), ('quality', 12), ('life', 12), ('assessment', 11), ('europe', 11), ('system', 11), ('young', 11), ('control', 11), ('infant', 11), ('economics', 10)];[(('human', 'JJ'), 39), (('social', 'JJ'), 37), (('analysis', 'NN'), 29), (('adult', 'NN'), 29), (('female', 'JJ'), 23), (('humans', 'NNS'), 21), (('study', 'NN'), 21), (('male', 'NN'), 19), (('behavior', 'NN'), 18), (('article', 'NN'), 18), (('behavior', 'JJ'), 17), (('male', 'JJ'), 17), (('clinical', 'JJ'), 16), (('adolescent', 'JJ'), 15), (('transportation', 'NN'), 14), (('adolescent', 'NN'), 14), (('female', 'NN'), 13), (('price', 'NN'), 12), (('industry', 'NN'), 12), (('market', 'NN'), 12), (('life', 'NN'), 12), (('italy', 'NN'), 11), (('young', 'JJ'), 11), (('child', 'NN'), 11), (('economics', 'NNS'), 9), (('europe', 'NN'), 9), (('model', 'NN'), 9), (('psychology', 'NN'), 9), (('change', 'NN'), 9), (('quality', 'NN'), 9)]
60105230;[('cell', 300), ('protein', 280), ('human', 248), ('study', 225), ('animal', 218), ('disease', 155), ('male', 128), ('article', 127), ('female', 125), ('age', 122), ('drug', 119), ('mouse', 101), ('control', 98), ('factor', 97), ('gene', 95), ('clinic', 92), ('adult', 87), ('acid', 75), ('analysis', 72), ('receptor', 69), ('metabolism', 68), ('dna', 64), ('model', 62), ('middle', 54), ('muscle', 53), ('expression', 53), ('peptide', 49), ('migraine', 48), ('test', 43), ('agent', 43)];[(('cell', 'NN'), 228), (('protein', 'NN'), 197), (('study', 'NN'), 192), (('human', 'JJ'), 150), (('disease', 'NN'), 139), (('article', 'NN'), 127), (('drug', 'NN'), 119), (('animal', 'JJ'), 104), (('gene', 'NN'), 94), (('clinical', 'JJ'), 90), (('adult', 'NN'), 85), (('female', 'JJ'), 85), (('humans', 'NNS'), 80), (('factor', 'NN'), 76), (('analysis', 'NN'), 71), (('male', 'JJ'), 66), (('receptor', 'NN'), 63), (('controlled', 'VBD'), 62), (('aged', 'VBN'), 61), (('male', 'NN'), 59), (('animal', 'NN'), 59), (('metabolism', 'NN'), 58), (('expression', 'NN'), 53), (('mouse', 'NN'), 52), (('animals', 'NNS'), 52), (('dna', 'NN'), 49), (('muscle', 'NN'), 47), (('line', 'NN'), 42), (('acid', 'NN'), 41), (('model', 'NN'), 41)]
60105475;[('seismic', 689), ('analysis', 636), ('human', 574), ('structure', 508), ('assessment', 431), ('earthquake', 411), ('study', 391), ('age', 387), ('response', 360), ('design', 349), ('model', 319), ('risk', 315), ('article', 297), ('concrete', 295), ('female', 287), ('male', 287), ('test', 282), ('method', 254), ('build', 251), ('cell', 247), ('adult', 237), ('image', 237), ('cognition', 236), ('protein', 236), ('disease', 214), ('control', 209), ('engineer', 202), ('brain', 198), ('performance', 190), ('reinforce', 184)];[(('seismic', 'JJ'), 672), (('analysis', 'NN'), 632), (('response', 'NN'), 359), (('structural', 'JJ'), 340), (('human', 'JJ'), 340), (('design', 'NN'), 322), (('earthquake', 'NN'), 307), (('article', 'NN'), 297), (('study', 'NN'), 289), (('assessment', 'NN'), 280), (('risk', 'NN'), 264), (('concrete', 'JJ'), 232), (('adult', 'NN'), 226), (('female', 'JJ'), 222), (('humans', 'NNS'), 208), (('cell', 'NN'), 202), (('brain', 'NN'), 198), (('engineering', 'NN'), 197), (('performance', 'NN'), 190), (('male', 'JJ'), 189), (('aged', 'VBN'), 186), (('disease', 'NN'), 186), (('reinforced', 'VBD'), 180), (('test', 'NN'), 165), (('protein', 'NN'), 165), (('imaging', 'VBG'), 162), (('aged', 'VBD'), 160), (('method', 'NN'), 155), (('motion', 'NN'), 149), (('clinical', 'JJ'), 147)]
60105927;[('human', 224), ('cell', 207), ('study', 193), ('analysis', 154), ('animal', 154), ('article', 152), ('energy', 134), ('model', 133), ('system', 130), ('protein', 117), ('female', 111), ('adult', 109), ('control', 102), ('radiation', 102), ('male', 101), ('disease', 92), ('cancer', 89), ('mouse', 81), ('drug', 79), ('test', 79), ('experiment', 78), ('age', 75), ('clinic', 69), ('behavior', 68), ('disorder', 62), ('gene', 61), ('wind', 58), ('dna', 58), ('image', 57), ('factor', 53)];[(('cell', 'NN'), 170), (('study', 'NN'), 154), (('analysis', 'NN'), 152), (('article', 'NN'), 152), (('human', 'JJ'), 144), (('energy', 'NN'), 120), (('adult', 'NN'), 106), (('radiation', 'NN'), 96), (('cancer', 'NN'), 89), (('systems', 'NNS'), 88), (('protein', 'NN'), 84), (('female', 'JJ'), 78), (('animal', 'JJ'), 78), (('disease', 'NN'), 76), (('drug', 'NN'), 74), (('model', 'NN'), 70), (('clinical', 'JJ'), 69), (('humans', 'NNS'), 67), (('gene', 'NN'), 61), (('male', 'JJ'), 54), (('controlled', 'VBD'), 51), (('performance', 'NN'), 50), (('dna', 'NN'), 50), (('disorder', 'NN'), 50), (('male', 'NN'), 46), (('test', 'NN'), 45), (('power', 'NN'), 45), (('tumor', 'NN'), 44), (('factor', 'NN'), 43), (('stress', 'NN'), 43)]
60107210;[('study', 5580), ('human', 5278), ('age', 3872), ('disease', 3134), ('cell', 2923), ('clinic', 2880), ('article', 2578), ('male', 2544), ('female', 2494), ('cancer', 2398), ('adult', 2342), ('protein', 2082), ('tumor', 1932), ('middle', 1648), ('control', 1645), ('drug', 1636), ('treatment', 1442), ('outcome', 1415), ('analysis', 1384), ('neoplasm', 1349), ('factor', 1317), ('survival', 1228), ('liver', 1169), ('surgery', 1120), ('agent', 1058), ('therapy', 1052), ('retrospective', 1043), ('animal', 1017), ('gene', 1003), ('major', 1001)];[(('study', 'NN'), 4327), (('human', 'JJ'), 3105), (('clinical', 'JJ'), 2873), (('disease', 'NN'), 2804), (('article', 'NN'), 2578), (('cell', 'NN'), 2477), (('cancer', 'NN'), 2381), (('adult', 'NN'), 2264), (('aged', 'VBN'), 1883), (('humans', 'NNS'), 1861), (('tumor', 'NN'), 1770), (('female', 'JJ'), 1769), (('aged', 'VBD'), 1715), (('drug', 'NN'), 1633), (('protein', 'NN'), 1550), (('treatment', 'NN'), 1436), (('analysis', 'NN'), 1378), (('male', 'NN'), 1275), (('male', 'JJ'), 1222), (('therapy', 'NN'), 1014), (('factor', 'NN'), 1011), (('studies', 'NNS'), 1009), (('major', 'JJ'), 1001), (('gene', 'NN'), 994), (('outcome', 'NN'), 973), (('trial', 'NN'), 888), (('controlled', 'VBD'), 852), (('survival', 'NN'), 799), (('risk', 'NN'), 790), (('receptor', 'NN'), 787)]
60109537;[('management', 47), ('technology', 35), ('analysis', 34), ('system', 32), ('cell', 32), ('human', 31), ('development', 31), ('study', 30), ('model', 29), ('innovation', 28), ('knowledge', 28), ('social', 27), ('health', 26), ('environment', 24), ('network', 22), ('economy', 22), ('enterprise', 22), ('learn', 19), ('performance', 17), ('assessment', 17), ('article', 17), ('risk', 16), ('internet', 16), ('organization', 15), ('technological', 15), ('resource', 15), ('sustainability', 15), ('industry', 14), ('city', 14), ('software', 14)];[(('management', 'NN'), 45), (('analysis', 'NN'), 33), (('development', 'NN'), 31), (('technology', 'NN'), 31), (('social', 'JJ'), 27), (('health', 'NN'), 26), (('environmental', 'JJ'), 23), (('innovation', 'NN'), 23), (('study', 'NN'), 21), (('cell', 'NN'), 21), (('human', 'JJ'), 20), (('knowledge', 'NN'), 20), (('enterprise', 'NN'), 19), (('performance', 'NN'), 17), (('economic', 'JJ'), 17), (('article', 'NN'), 17), (('system', 'NN'), 16), (('learning', 'VBG'), 16), (('systems', 'NNS'), 16), (('technological', 'JJ'), 15), (('sustainable', 'JJ'), 15), (('software', 'NN'), 14), (('energy', 'NN'), 14), (('small', 'JJ'), 13), (('research', 'NN'), 12), (('digital', 'JJ'), 12), (('information', 'NN'), 12), (('adult', 'NN'), 12), (('networks', 'NNS'), 11), (('resource', 'NN'), 11)]
60112425;[('human', 15), ('cell', 9), ('gene', 8), ('heat', 7), ('animal', 6), ('article', 6), ('cycle', 6), ('care', 6), ('ethic', 6), ('culture', 5), ('protein', 5), ('evolution', 4), ('clinic', 4), ('decision', 4), ('make', 4), ('personal', 4), ('autonomy', 4), ('expression', 4), ('female', 4), ('male', 4), ('biology', 3), ('stress', 3), ('regulation', 3), ('silence', 3), ('rna', 3), ('weightlessness', 3), ('adult', 3), ('health', 3), ('treatment', 3), ('intensive', 3)];[(('human', 'JJ'), 8), (('gene', 'NN'), 8), (('humans', 'NNS'), 7), (('heat', 'NN'), 6), (('article', 'NN'), 6), (('cell', 'NN'), 6), (('care', 'NN'), 6), (('ethics', 'NNS'), 6), (('cycle', 'NN'), 5), (('animal', 'JJ'), 4), (('evolution', 'NN'), 4), (('clinical', 'JJ'), 4), (('decision', 'NN'), 4), (('personal', 'JJ'), 4), (('autonomy', 'NN'), 4), (('expression', 'NN'), 4), (('female', 'JJ'), 4), (('cultural', 'JJ'), 3), (('making', 'VBG'), 3), (('regulation', 'NN'), 3), (('silencing', 'VBG'), 3), (('weightlessness', 'NN'), 3), (('adult', 'NN'), 3), (('health', 'NN'), 3), (('treatment', 'NN'), 3), (('male', 'NN'), 3), (('intensive', 'JJ'), 3), (('newborn', 'JJ'), 3), (('waste', 'NN'), 3), (('bioethics', 'NNS'), 3)]
60134846;[('human', 483), ('study', 328), ('male', 291), ('adult', 289), ('age', 243), ('female', 215), ('control', 196), ('article', 193), ('test', 174), ('analysis', 152), ('exercise', 149), ('disease', 141), ('muscle', 135), ('clinic', 130), ('performance', 125), ('body', 109), ('middle', 102), ('cognition', 101), ('protein', 99), ('disorder', 99), ('adolescent', 95), ('model', 92), ('young', 91), ('system', 91), ('factor', 88), ('major', 84), ('cell', 82), ('behavior', 81), ('physiology', 79), ('experiment', 76)];[(('human', 'JJ'), 307), (('adult', 'NN'), 280), (('study', 'NN'), 264), (('article', 'NN'), 193), (('humans', 'NNS'), 166), (('male', 'JJ'), 161), (('analysis', 'NN'), 152), (('female', 'JJ'), 144), (('exercise', 'NN'), 138), (('clinical', 'JJ'), 127), (('test', 'NN'), 127), (('disease', 'NN'), 125), (('performance', 'NN'), 124), (('muscle', 'NN'), 122), (('male', 'NN'), 121), (('aged', 'VBN'), 109), (('controlled', 'VBD'), 107), (('body', 'NN'), 104), (('young', 'JJ'), 91), (('aged', 'VBD'), 88), (('protein', 'NN'), 84), (('major', 'JJ'), 84), (('disorder', 'NN'), 71), (('physiology', 'NN'), 71), (('female', 'NN'), 68), (('strength', 'NN'), 68), (('health', 'NN'), 66), (('cell', 'NN'), 66), (('motor', 'NN'), 65), (('factor', 'NN'), 64)]
60134847;[('analysis', 187), ('human', 168), ('study', 163), ('soil', 123), ('adult', 106), ('risk', 102), ('italy', 81), ('article', 80), ('age', 78), ('female', 76), ('male', 69), ('control', 66), ('model', 66), ('structure', 66), ('cancer', 60), ('acid', 59), ('pollution', 57), ('body', 55), ('assessment', 54), ('factor', 54), ('water', 51), ('environment', 50), ('energy', 49), ('method', 48), ('waste', 48), ('gene', 47), ('disease', 47), ('pollutant', 44), ('clinic', 44), ('system', 42)];[(('analysis', 'NN'), 184), (('study', 'NN'), 132), (('adult', 'NN'), 103), (('human', 'JJ'), 99), (('soil', 'NN'), 95), (('article', 'NN'), 80), (('risk', 'NN'), 80), (('cancer', 'NN'), 60), (('humans', 'NNS'), 59), (('pollution', 'NN'), 57), (('italy', 'NN'), 56), (('body', 'NN'), 50), (('water', 'NN'), 49), (('environmental', 'JJ'), 48), (('energy', 'NN'), 47), (('female', 'JJ'), 47), (('gene', 'NN'), 47), (('clinical', 'JJ'), 44), (('disease', 'NN'), 43), (('index', 'NN'), 42), (('treatment', 'NN'), 40), (('acid', 'NN'), 38), (('waste', 'NN'), 38), (('health', 'NN'), 38), (('male', 'JJ'), 37), (('blood', 'NN'), 37), (('composition', 'NN'), 36), (('controlled', 'VBD'), 36), (('seismic', 'JJ'), 36), (('concentration', 'NN'), 35)]
60136210;[('system', 267), ('ray', 258), ('model', 251), ('detector', 251), ('particle', 241), ('energy', 220), ('cosmology', 207), ('analysis', 203), ('cosmos', 200), ('method', 194), ('galaxy', 175), ('equation', 171), ('flow', 152), ('wave', 141), ('star', 140), ('spectrum', 134), ('gamma', 124), ('algorithm', 122), ('matter', 116), ('signal', 113), ('gravitation', 113), ('dark', 112), ('structure', 110), ('radiation', 110), ('background', 108), ('effect', 105), ('process', 101), ('compound', 100), ('field', 98), ('theory', 96)];[(('energy', 'NN'), 198), (('analysis', 'NN'), 196), (('systems', 'NNS'), 187), (('detectors', 'NNS'), 171), (('cosmic', 'JJ'), 148), (('rays', 'NNS'), 139), (('methods', 'NNS'), 137), (('cosmology', 'NN'), 127), (('galaxies', 'NNS'), 127), (('equations', 'NNS'), 126), (('particles', 'NNS'), 122), (('matter', 'NN'), 112), (('radiation', 'NN'), 103), (('stars', 'NNS'), 101), (('model', 'NN'), 96), (('numerical', 'JJ'), 95), (('effects', 'NNS'), 90), (('flow', 'NN'), 89), (('gravitational', 'JJ'), 89), (('time', 'NN'), 87), (('models', 'NNS'), 87), (('software', 'NN'), 85), (('urban', 'JJ'), 83), (('computer', 'NN'), 81), (('data', 'NNS'), 81), (('system', 'NN'), 80), (('gravity', 'NN'), 78), (('theory', 'NN'), 73), (('number', 'NN'), 72), (('dark', 'JJ'), 72)]
60196832;[('human', 791), ('study', 569), ('female', 301), ('cell', 299), ('age', 289), ('article', 277), ('disease', 272), ('protein', 254), ('male', 252), ('clinic', 239), ('adult', 234), ('health', 207), ('control', 188), ('virus', 179), ('factor', 168), ('drug', 158), ('analysis', 139), ('middle', 132), ('risk', 122), ('microrna', 116), ('major', 111), ('gene', 111), ('heart', 111), ('outcome', 110), ('animal', 108), ('coronary', 107), ('agent', 102), ('valve', 98), ('care', 97), ('blood', 96)];[(('human', 'JJ'), 516), (('study', 'NN'), 447), (('article', 'NN'), 277), (('cell', 'NN'), 253), (('disease', 'NN'), 239), (('clinical', 'JJ'), 238), (('humans', 'NNS'), 233), (('female', 'JJ'), 227), (('adult', 'NN'), 224), (('health', 'NN'), 207), (('protein', 'NN'), 186), (('drug', 'NN'), 158), (('virus', 'NN'), 151), (('analysis', 'NN'), 136), (('aged', 'VBN'), 135), (('factor', 'NN'), 128), (('male', 'JJ'), 124), (('male', 'NN'), 119), (('aged', 'VBD'), 112), (('risk', 'NN'), 111), (('major', 'JJ'), 111), (('gene', 'NN'), 110), (('coronary', 'JJ'), 105), (('studies', 'NNS'), 101), (('controlled', 'VBD'), 96), (('treatment', 'NN'), 94), (('heart', 'NN'), 94), (('microrna', 'FW'), 94), (('care', 'NN'), 92), (('blood', 'NN'), 90)]
60199653;[('human', 673), ('study', 523), ('age', 453), ('disease', 399), ('male', 348), ('female', 319), ('heart', 308), ('article', 296), ('adult', 273), ('clinic', 258), ('middle', 192), ('drug', 178), ('risk', 177), ('control', 176), ('protein', 174), ('failure', 168), ('factor', 162), ('gene', 161), ('analysis', 160), ('genetic', 159), ('blood', 155), ('health', 153), ('agent', 145), ('cell', 127), ('receptor', 125), ('virus', 123), ('infection', 121), ('major', 115), ('journal', 106), ('priority', 104)];[(('human', 'JJ'), 416), (('study', 'NN'), 408), (('disease', 'NN'), 371), (('article', 'NN'), 296), (('heart', 'NN'), 295), (('adult', 'NN'), 263), (('clinical', 'JJ'), 257), (('female', 'JJ'), 241), (('humans', 'NNS'), 228), (('aged', 'VBN'), 220), (('male', 'JJ'), 189), (('drug', 'NN'), 178), (('risk', 'NN'), 167), (('failure', 'NN'), 167), (('aged', 'VBD'), 162), (('gene', 'NN'), 161), (('genetic', 'JJ'), 159), (('analysis', 'NN'), 159), (('health', 'NN'), 153), (('male', 'NN'), 146), (('blood', 'NN'), 136), (('protein', 'NN'), 135), (('receptor', 'NN'), 116), (('major', 'JJ'), 115), (('factor', 'NN'), 113), (('cell', 'NN'), 110), (('virus', 'NN'), 106), (('priority', 'NN'), 103), (('cancer', 'NN'), 103), (('studies', 'NNS'), 95)]
60268246;[('exhibition', 2), ('textile', 1), ('art', 1), ('conference', 1), ('report', 1), ('economy', 1), ('data', 1), ('review', 1), ('furnish', 1), ('fabric', 1)];[(('exhibition', 'NN'), 2), (('textile', 'IN'), 1), (('art', 'NN'), 1), (('conference', 'NN'), 1), (('report', 'NN'), 1), (('economic', 'JJ'), 1), (('data', 'NNS'), 1), (('review', 'NN'), 1), (('furnishing', 'VBG'), 1), (('fabric', 'NN'), 1)]
